Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
ESR1	6q25.1-q25.2	0.43	1.56	1.71	1.73	-1.13	7.51e-7	1.705e-4	(B) WHITE
ASNS	7q21.3	0.13	-0.23	0.58	0.56	0.36	1.957e-6	2.222e-4	(A) BLACK OR AFRICAN AMERICAN
RAD51	15q15.1	0.08	-0.14	0.37	0.31	0.23	3.083e-6	2.333e-4	(A) BLACK OR AFRICAN AMERICAN
GATA3	10p14	1.12	1.77	1.13	1.07	-0.65	1.166e-5	6.615e-4	(B) WHITE
NOTCH1	9q34.3	0.16	0.01	0.28	0.26	0.15	2.533e-5	1.150e-3	(A) BLACK OR AFRICAN AMERICAN
TP53	17p13.1	0.12	-0.16	0.55	0.43	0.28	6.945e-5	2.084e-3	(A) BLACK OR AFRICAN AMERICAN
TP53BP1	15q15.3	-0.49	-0.25	0.46	0.49	-0.24	7.822e-5	2.084e-3	(B) WHITE
NF2	22q12.2	-0.50	-0.34	0.32	0.40	-0.17	8.167e-5	2.084e-3	(B) WHITE
CDK1	10q21.2	-0.01	-0.14	0.24	0.27	0.13	8.261e-5	2.084e-3	(A) BLACK OR AFRICAN AMERICAN
PGR	11q22.1	0.02	0.13	0.21	0.30	-0.11	1.094e-4	2.483e-3	(B) WHITE
ERCC5	13q33.1	-0.26	-0.08	0.36	0.39	-0.18	1.362e-4	2.810e-3	(B) WHITE
ABL1	9q34.12	-0.10	0.00	0.22	0.22	-0.10	1.955e-4	3.435e-3	(B) WHITE
FOXO3	6q21	0.20	0.09	0.23	0.20	0.11	2.076e-4	3.435e-3	(A) BLACK OR AFRICAN AMERICAN
MAPK8_PT183	3q13.3	0.11	0.22	0.22	0.29	-0.11	2.119e-4	3.435e-3	(B) WHITE
ESR1_PS118	11q24.2	-0.16	0.05	0.42	0.58	-0.21	2.459e-4	3.722e-3	(B) WHITE
PRKCA	17q24.2	-0.31	-0.49	0.38	0.33	0.18	2.819e-4	4.000e-3	(A) BLACK OR AFRICAN AMERICAN
RB1	13q14.2	-0.11	-0.00	0.24	0.25	-0.11	4.713e-4	6.126e-3	(B) WHITE
STMN1	1p36.11	0.20	0.07	0.29	0.29	0.13	4.857e-4	6.126e-3	(A) BLACK OR AFRICAN AMERICAN
MAPK9	5q35.3	0.05	0.19	0.31	0.38	-0.14	6.494e-4	7.759e-3	(B) WHITE
INPP4B	4q31.21	0.77	1.24	1.09	1.11	-0.48	6.907e-4	7.840e-3	(B) WHITE
AR	Xq12	0.55	0.97	0.99	0.85	-0.42	7.342e-4	7.887e-3	(B) WHITE
MS4A1	11q12.2	0.09	-0.01	0.25	0.22	0.11	8.506e-4	7.887e-3	(A) BLACK OR AFRICAN AMERICAN
PCNA	20p12.3	-0.07	-0.18	0.26	0.26	0.11	8.508e-4	7.887e-3	(A) BLACK OR AFRICAN AMERICAN
CASP7	10q25.3	-0.01	-0.37	0.86	0.65	0.36	8.540e-4	7.887e-3	(A) BLACK OR AFRICAN AMERICAN
FASN	17q25.3	0.42	0.89	1.10	1.13	-0.47	9.110e-4	7.887e-3	(B) WHITE
FOXM1	12p13.33	0.04	-0.16	0.46	0.44	0.20	9.200e-4	7.887e-3	(A) BLACK OR AFRICAN AMERICAN
MAPK1_PT202_Y204	5q21-q22	0.34	0.62	0.66	0.70	-0.28	9.729e-4	7.887e-3	(B) WHITE
MAPK3_PT202_Y204	5q21-q22	0.34	0.62	0.66	0.70	-0.28	9.729e-4	7.887e-3	(B) WHITE
CDH3	16q22.1	0.08	-0.00	0.20	0.21	0.08	1.115e-3	8.666e-3	(A) BLACK OR AFRICAN AMERICAN
PRKCA_PS657	4q24	-0.16	-0.31	0.36	0.31	0.15	1.158e-3	8.666e-3	(A) BLACK OR AFRICAN AMERICAN
CCNE1	19q12	-0.39	-0.65	0.65	0.48	0.26	1.183e-3	8.666e-3	(A) BLACK OR AFRICAN AMERICAN
CCNB1	5q13.2	-0.34	-0.67	0.82	0.85	0.33	1.588e-3	0.0110	(A) BLACK OR AFRICAN AMERICAN
EIF4EBP1_PT70	17q21	0.02	-0.09	0.28	0.23	0.11	1.601e-3	0.0110	(A) BLACK OR AFRICAN AMERICAN
PTPN11_PY542	5q21-q22	-0.01	0.12	0.33	0.38	-0.14	1.671e-3	0.0112	(B) WHITE
PREX1	20q13.13	0.60	0.92	0.78	0.88	-0.32	1.740e-3	0.0113	(B) WHITE
CHEK2_PT68	1p32-p31	0.10	0.00	0.25	0.31	0.10	2.181e-3	0.0138	(A) BLACK OR AFRICAN AMERICAN
PDK1_PS241	15q22.1-q22.33	0.06	0.19	0.34	0.36	-0.13	2.507e-3	0.0151	(B) WHITE
ARAF	Xp11.3	0.12	0.23	0.28	0.31	-0.11	2.520e-3	0.0151	(B) WHITE
PRKAA1	5p13.1	-0.30	-0.19	0.29	0.34	-0.11	3.189e-3	0.0185	(B) WHITE
KDR	4q12	0.24	0.42	0.46	0.50	-0.18	3.262e-3	0.0185	(B) WHITE
CASP3	4q35.1	-0.13	-0.26	0.31	0.43	0.12	3.691e-3	0.0204	(A) BLACK OR AFRICAN AMERICAN
TSC1	9q34.13	0.04	-0.07	0.27	0.34	0.10	3.955e-3	0.0214	(A) BLACK OR AFRICAN AMERICAN
MSH2	2p21-p16.3	-0.04	-0.18	0.39	0.38	0.14	4.824e-3	0.0255	(A) BLACK OR AFRICAN AMERICAN
RAD50	5q31.1	-0.29	-0.21	0.24	0.27	-0.09	4.975e-3	0.0257	(B) WHITE
DPP4	2q24.2	0.05	0.14	0.26	0.30	-0.09	5.300e-3	0.0267	(B) WHITE
NRAS	1p13.2	0.18	0.07	0.31	0.24	0.11	5.785e-3	0.0286	(A) BLACK OR AFRICAN AMERICAN
MRE11	11q21	0.25	0.18	0.21	0.23	0.07	6.415e-3	0.0309	(A) BLACK OR AFRICAN AMERICAN
EGFR	7p11.2	-0.12	-0.24	0.33	0.38	0.12	6.596e-3	0.0309	(A) BLACK OR AFRICAN AMERICAN
ITGA2	5q11.2	0.14	0.01	0.38	0.33	0.13	6.661e-3	0.0309	(A) BLACK OR AFRICAN AMERICAN
LCK	1p35.2	0.19	0.02	0.49	0.50	0.17	6.909e-3	0.0313	(A) BLACK OR AFRICAN AMERICAN
BAK1	6p21.31	0.02	-0.14	0.48	0.40	0.16	7.024e-3	0.0313	(A) BLACK OR AFRICAN AMERICAN
SMAD4	18q21.2	0.00	-0.05	0.15	0.18	0.05	7.220e-3	0.0315	(A) BLACK OR AFRICAN AMERICAN
PARK7	1p36.23	0.02	0.14	0.34	0.39	-0.12	7.564e-3	0.0324	(B) WHITE
ACVRL1	12q13.13	0.20	0.14	0.19	0.21	0.06	8.268e-3	0.0348	(A) BLACK OR AFRICAN AMERICAN
TFRC	3q29	-0.89	-1.19	0.89	0.79	0.29	9.161e-3	0.0378	(A) BLACK OR AFRICAN AMERICAN
CDKN1A	6p21.2	0.07	0.17	0.31	0.31	-0.10	0.0103	0.0419	(B) WHITE
RPTOR	17q25.3	-0.01	0.08	0.26	0.28	-0.08	0.0111	0.0442	(B) WHITE
IGFBP2	2q35	-0.08	0.23	0.97	0.85	-0.31	0.0115	0.0448	(B) WHITE
CTNNB1	3p22.1	-0.67	-0.47	0.61	0.76	-0.20	0.0129	0.0497	(B) WHITE
PRKCD_PS664	12p13.1-p12	-0.01	-0.07	0.17	0.19	0.05	0.0135	0.0512	(A) BLACK OR AFRICAN AMERICAN
YBX1	1p34.2	-0.12	-0.03	0.30	0.34	-0.10	0.0141	0.0523	(B) WHITE
SRC	20q11.23	0.01	-0.09	0.35	0.33	0.10	0.0169	0.0617	(A) BLACK OR AFRICAN AMERICAN
RAB11A	15q22.31	0.25	0.36	0.36	0.39	-0.11	0.0191	0.0678	(B) WHITE
RAB11B	19p13.2	0.25	0.36	0.36	0.39	-0.11	0.0191	0.0678	(B) WHITE
BCL2	18q21.33	0.42	0.62	0.72	0.61	-0.21	0.0218	0.0723	(B) WHITE
FOXO3_PS318_S321	5q21-q22	0.14	0.09	0.16	0.16	0.05	0.0222	0.0723	(A) BLACK OR AFRICAN AMERICAN
DIABLO	12q24.31	-0.48	-0.34	0.49	0.46	-0.14	0.0222	0.0723	(B) WHITE
CDKN1B_PT198	Xp11.4-p11.2	0.10	0.04	0.21	0.16	0.06	0.0223	0.0723	(A) BLACK OR AFRICAN AMERICAN
AKT1_PS473	8p11.1	-0.28	-0.05	0.76	0.84	-0.22	0.0226	0.0723	(B) WHITE
AKT2_PS473	8p11.1	-0.28	-0.05	0.76	0.84	-0.22	0.0226	0.0723	(B) WHITE
AKT3_PS473	8p11.1	-0.28	-0.05	0.76	0.84	-0.22	0.0226	0.0723	(B) WHITE
BRCA2	13q13.1	0.06	0.01	0.18	0.20	0.05	0.0243	0.0767	(A) BLACK OR AFRICAN AMERICAN
MSH6	2p16.3	-0.19	-0.37	0.62	0.56	0.17	0.0254	0.0791	(A) BLACK OR AFRICAN AMERICAN
BCL2L1	20q11.21	-0.21	-0.16	0.18	0.21	-0.05	0.0288	0.0846	(B) WHITE
RB1_PS807_S811	5q21-q22	-0.43	-0.29	0.48	0.58	-0.14	0.0288	0.0846	(B) WHITE
AKT1	14q32.33	-0.02	0.10	0.42	0.41	-0.12	0.0294	0.0846	(B) WHITE
AKT2	19q13.2	-0.02	0.10	0.42	0.41	-0.12	0.0294	0.0846	(B) WHITE
AKT3	1q43-q44	-0.02	0.10	0.42	0.41	-0.12	0.0294	0.0846	(B) WHITE
ANXA7	10q22.2	0.09	0.14	0.15	0.18	-0.04	0.0294	0.0846	(B) WHITE
ACACA	17q12	0.10	0.28	0.70	0.76	-0.19	0.0364	0.103	(B) WHITE
TSC2	16p13.3	-0.11	-0.02	0.34	0.37	-0.09	0.0380	0.106	(B) WHITE
MAPK14	6p21.31	0.13	0.19	0.23	0.24	-0.06	0.0406	0.112	(B) WHITE
EPPK1	8q24.3	0.69	1.04	1.38	1.26	-0.35	0.0436	0.117	(B) WHITE
PEA15_PS116	1p36.2	-0.31	-0.22	0.32	0.44	-0.09	0.0440	0.117	(B) WHITE
ANXA1	9q21.13	0.06	-0.09	0.60	0.60	0.15	0.0441	0.117	(A) BLACK OR AFRICAN AMERICAN
MYH9_PS1943	10q11.22	-0.01	0.09	0.44	0.32	-0.11	0.0453	0.117	(B) WHITE
PEA15	1q23.2	-0.02	0.05	0.30	0.29	-0.08	0.0457	0.117	(B) WHITE
GSK3A_PS21_S9	5q21-q22	-0.14	0.01	0.59	0.62	-0.15	0.0458	0.117	(B) WHITE
GSK3B_PS21_S9	5q21-q22	-0.14	0.01	0.59	0.62	-0.15	0.0458	0.117	(B) WHITE
SHC1_PY317	13q14.2	0.20	0.14	0.23	0.27	0.06	0.0480	0.121	(A) BLACK OR AFRICAN AMERICAN
PRDX1	1p34.1	0.15	0.07	0.32	0.28	0.08	0.0492	0.123	(A) BLACK OR AFRICAN AMERICAN
PECAM1	17q23.3	0.16	0.11	0.19	0.26	0.05	0.0517	0.128	(A) BLACK OR AFRICAN AMERICAN
EEF2K	16p12.2	-0.03	0.08	0.44	0.46	-0.11	0.0524	0.128	(B) WHITE
MTOR	1p36.22	-0.19	-0.12	0.27	0.31	-0.07	0.0565	0.137	(B) WHITE
CHEK1_PS345	5p12	-0.08	-0.13	0.21	0.23	0.05	0.0579	0.138	(A) BLACK OR AFRICAN AMERICAN
PDK1	2q31.1	0.13	0.18	0.21	0.22	-0.05	0.0593	0.140	(B) WHITE
XBP1	22q12.1|22q12	0.08	0.03	0.23	0.23	0.05	0.0636	0.148	(A) BLACK OR AFRICAN AMERICAN
EIF4EBP1	8p11.23	0.10	-0.04	0.63	0.54	0.15	0.0639	0.148	(A) BLACK OR AFRICAN AMERICAN
ATM	11q22.3	0.14	-0.01	0.62	0.59	0.14	0.0664	0.150	(A) BLACK OR AFRICAN AMERICAN
GSK3A_PS9	8p11.1	-0.18	-0.04	0.58	0.59	-0.13	0.0666	0.150	(B) WHITE
GSK3B_PS9	8p11.1	-0.18	-0.04	0.58	0.59	-0.13	0.0666	0.150	(B) WHITE
MET_PY1235	11q13	-0.02	-0.05	0.13	0.16	0.03	0.0699	0.155	(A) BLACK OR AFRICAN AMERICAN
MAP2K1_PS217_S221	5q21-q22	0.11	0.20	0.39	0.40	-0.09	0.0709	0.155	(B) WHITE
DIRAS3	1p31.3	0.16	0.23	0.32	0.28	-0.07	0.0717	0.155	(B) WHITE
SCD	10q24.31	-0.02	-0.08	0.29	0.37	0.07	0.0718	0.155	(A) BLACK OR AFRICAN AMERICAN
CDH2	18q12.1	0.11	0.02	0.44	0.37	0.10	0.0740	0.158	(A) BLACK OR AFRICAN AMERICAN
YWHAE	17p13.3	0.08	0.05	0.14	0.16	0.03	0.0807	0.171	(A) BLACK OR AFRICAN AMERICAN
CHEK2	22q12.1	-0.20	-0.28	0.37	0.40	0.08	0.0814	0.171	(A) BLACK OR AFRICAN AMERICAN
PTEN	10q23.31	-0.01	0.13	0.64	0.62	-0.14	0.0828	0.172	(B) WHITE
RICTOR_PT1135	2q31.1	0.11	0.17	0.26	0.23	-0.05	0.0896	0.185	(B) WHITE
TSC2_PT1462	1q21	0.09	0.16	0.34	0.31	-0.07	0.0913	0.187	(B) WHITE
SETD2	3p21.31	0.06	0.01	0.22	0.21	0.05	0.0977	0.198	(A) BLACK OR AFRICAN AMERICAN
ERBB3_PY1289	19q13.2	0.05	0.01	0.18	0.20	0.04	0.101	0.201	(A) BLACK OR AFRICAN AMERICAN
CASP8	2q33.1	0.01	0.05	0.19	0.21	-0.04	0.101	0.201	(B) WHITE
AKT1_PT308	8p11.1	-0.29	-0.15	0.68	0.73	-0.14	0.105	0.204	(B) WHITE
AKT2_PT308	8p11.1	-0.29	-0.15	0.68	0.73	-0.14	0.105	0.204	(B) WHITE
AKT3_PT308	8p11.1	-0.29	-0.15	0.68	0.73	-0.14	0.105	0.204	(B) WHITE
SRC_PY416	9p21	0.01	-0.05	0.28	0.36	0.06	0.108	0.208	(A) BLACK OR AFRICAN AMERICAN
ARAF_PS299	12q24.11	0.17	0.13	0.22	0.19	0.04	0.114	0.218	(A) BLACK OR AFRICAN AMERICAN
MTOR_PS2448	8p11.1	0.00	0.04	0.20	0.20	-0.04	0.115	0.218	(B) WHITE
PIK3CA	3q26.32	0.20	0.12	0.44	0.23	0.08	0.123	0.231	(A) BLACK OR AFRICAN AMERICAN
PARP1	1q42.12	-0.04	-0.10	0.31	0.36	0.06	0.125	0.233	(A) BLACK OR AFRICAN AMERICAN
CDKN1B_PT157	8p12	0.12	0.09	0.16	0.18	0.03	0.132	0.243	(A) BLACK OR AFRICAN AMERICAN
SMAD1	4q31.21	-0.05	0.00	0.28	0.23	-0.05	0.133	0.243	(B) WHITE
ADAR	1q21.3	0.01	-0.07	0.42	0.42	0.08	0.143	0.259	(A) BLACK OR AFRICAN AMERICAN
RPS6KA1_PT359_S363	5q21-q22	0.18	0.13	0.28	0.29	0.05	0.150	0.270	(A) BLACK OR AFRICAN AMERICAN
BAP1	3p21.1	-0.17	-0.22	0.32	0.28	0.06	0.152	0.272	(A) BLACK OR AFRICAN AMERICAN
PXN	12q24.23	-0.20	-0.13	0.40	0.36	-0.07	0.156	0.276	(B) WHITE
BECN1	17q21.31	0.09	0.05	0.25	0.27	0.04	0.157	0.277	(A) BLACK OR AFRICAN AMERICAN
CAV1	7q31.2	-0.09	0.10	1.09	0.97	-0.19	0.167	0.292	(B) WHITE
CHEK1	11q24.2	0.09	0.05	0.23	0.22	0.04	0.175	0.303	(A) BLACK OR AFRICAN AMERICAN
DVL3	3q27.1	-0.13	-0.07	0.38	0.33	-0.06	0.176	0.303	(B) WHITE
G6PD	Xq28	0.00	-0.06	0.34	0.37	0.06	0.179	0.304	(A) BLACK OR AFRICAN AMERICAN
CDK1_PY15	5q21-q22	-0.12	-0.19	0.41	0.40	0.07	0.180	0.304	(A) BLACK OR AFRICAN AMERICAN
TUBA1B	12q13.12	-0.59	-0.47	0.69	0.82	-0.12	0.186	0.313	(B) WHITE
ACACA_PS79	3q13.3	0.21	0.32	0.69	0.73	-0.11	0.192	0.319	(B) WHITE
ACACB_PS79	8p11.1	0.21	0.32	0.69	0.73	-0.11	0.192	0.319	(B) WHITE
AKT1S1_PT246	17q23.1	-0.11	-0.08	0.18	0.21	-0.03	0.198	0.323	(B) WHITE
EEF2	19p13.3	-0.63	-0.56	0.38	0.49	-0.06	0.198	0.323	(B) WHITE
CCND1	11q13.3	0.12	0.16	0.28	0.24	-0.04	0.203	0.329	(B) WHITE
RPS6	9p22.1	-0.50	-0.60	0.68	0.65	0.11	0.216	0.347	(A) BLACK OR AFRICAN AMERICAN
SERPINE1	7q22.1	0.48	0.36	0.79	0.58	0.12	0.220	0.351	(A) BLACK OR AFRICAN AMERICAN
COL6A1	21q22.3	0.80	0.95	1.00	0.87	-0.15	0.225	0.357	(B) WHITE
EIF4E	4q23	0.04	0.00	0.22	0.22	0.03	0.232	0.366	(A) BLACK OR AFRICAN AMERICAN
YWHAB	20q13.12	0.16	0.13	0.19	0.20	0.03	0.235	0.369	(A) BLACK OR AFRICAN AMERICAN
KIT	4q12	0.54	0.44	0.68	0.61	0.10	0.241	0.375	(A) BLACK OR AFRICAN AMERICAN
BRAF_PS445	8p11.1	-0.02	0.04	0.38	0.39	-0.06	0.245	0.379	(B) WHITE
IRF1	5q31.1	-0.04	-0.00	0.24	0.28	-0.04	0.251	0.384	(B) WHITE
SRC_PY527	9p21	0.16	0.24	0.54	0.58	-0.08	0.253	0.386	(B) WHITE
CCNE2	8q22.1	-0.23	-0.28	0.35	0.37	0.05	0.267	0.404	(A) BLACK OR AFRICAN AMERICAN
MAPK14_PT180_Y182	5q21-q22	0.03	0.09	0.49	0.52	-0.07	0.272	0.409	(B) WHITE
NDRG1_PT346	22q11.21	0.28	0.16	0.92	0.70	0.12	0.285	0.426	(A) BLACK OR AFRICAN AMERICAN
BIRC2	11q22.2	0.02	-0.00	0.19	0.24	0.03	0.297	0.441	(A) BLACK OR AFRICAN AMERICAN
EIF4EBP1_PT37_T46	5q21-q22	-0.06	0.03	0.72	0.67	-0.09	0.305	0.450	(B) WHITE
BRD4	19p13.12	-0.40	-0.33	0.58	0.56	-0.07	0.320	0.469	(B) WHITE
RICTOR	5p13.1	0.01	-0.06	0.54	0.55	0.07	0.326	0.474	(A) BLACK OR AFRICAN AMERICAN
ERBB3	12q13.2	0.16	0.21	0.39	0.47	-0.05	0.330	0.477	(B) WHITE
EIF4G1	3q27.1	-0.11	-0.16	0.40	0.39	0.05	0.333	0.478	(A) BLACK OR AFRICAN AMERICAN
COG3	13q14.13	-0.04	0.01	0.45	0.46	-0.05	0.341	0.485	(B) WHITE
YWHAZ	8q22.3	0.01	0.06	0.35	0.38	-0.04	0.342	0.485	(B) WHITE
CLDN7	17p13.1	0.14	0.05	0.83	0.73	0.09	0.362	0.511	(A) BLACK OR AFRICAN AMERICAN
XRCC5	2q35	-0.21	-0.25	0.39	0.38	0.04	0.370	0.518	(A) BLACK OR AFRICAN AMERICAN
PDCD4	10q25.2	0.04	0.10	0.53	0.71	-0.06	0.379	0.528	(B) WHITE
CDH1	16q22.1	-0.54	-0.41	1.12	1.14	-0.12	0.384	0.532	(B) WHITE
YAP1	11q22.1	-0.04	-0.07	0.33	0.30	0.04	0.390	0.534	(A) BLACK OR AFRICAN AMERICAN
FN1	2q35	0.84	0.92	0.74	0.70	-0.08	0.391	0.534	(B) WHITE
ERBB2	17q12	0.14	0.25	1.04	0.88	-0.11	0.394	0.534	(B) WHITE
RBM15	1p13.3	-0.58	-0.50	0.77	0.73	-0.08	0.395	0.534	(B) WHITE
RAB25	1q22	0.25	0.31	0.56	0.56	-0.06	0.409	0.550	(B) WHITE
STAT3_PY705	19q13.33	0.18	0.21	0.32	0.41	-0.03	0.419	0.559	(B) WHITE
MET	7q31.2	0.10	0.12	0.20	0.22	-0.02	0.442	0.587	(B) WHITE
CHEK1_PS296	5q21-q22	0.03	0.06	0.23	0.21	-0.02	0.456	0.601	(B) WHITE
RPS6KB1_PT389	6q21	0.10	0.13	0.29	0.39	-0.03	0.460	0.604	(B) WHITE
ERCC1	19q13.32	-0.11	-0.09	0.17	0.20	-0.02	0.476	0.621	(B) WHITE
MYC	8q24.21	0.39	0.34	0.61	0.60	0.05	0.484	0.627	(A) BLACK OR AFRICAN AMERICAN
SQSTM1	5q35.3	0.10	0.05	0.64	0.57	0.06	0.487	0.629	(A) BLACK OR AFRICAN AMERICAN
TGM2	20q11.23	-0.44	-0.47	0.27	0.30	0.02	0.493	0.632	(A) BLACK OR AFRICAN AMERICAN
ERRFI1	1p36.23	-0.07	-0.04	0.32	0.22	-0.03	0.507	0.644	(B) WHITE
HSPA1A	6p21.33	0.52	0.60	0.96	0.90	-0.08	0.510	0.644	(B) WHITE
XRCC1	19q13.31	0.02	0.00	0.28	0.26	0.02	0.511	0.644	(A) BLACK OR AFRICAN AMERICAN
SNAI1	20q13.13	0.03	0.00	0.31	0.28	0.02	0.515	0.646	(A) BLACK OR AFRICAN AMERICAN
EGFR_PY1173	3p25	0.06	0.08	0.27	0.28	-0.02	0.546	0.681	(B) WHITE
BAX	19q13.33	-0.13	-0.15	0.28	0.28	0.02	0.558	0.692	(A) BLACK OR AFRICAN AMERICAN
NFKB1_PS536	16p11.2	0.27	0.22	0.73	0.69	0.05	0.567	0.697	(A) BLACK OR AFRICAN AMERICAN
EIF4EBP1_PS65	8p12	-0.26	-0.24	0.34	0.30	-0.02	0.568	0.697	(B) WHITE
STK11	19p13.3	0.09	0.08	0.21	0.19	0.01	0.578	0.700	(A) BLACK OR AFRICAN AMERICAN
MYH11	16p13.11	0.34	0.44	1.48	1.35	-0.10	0.579	0.700	(B) WHITE
SYK	9q22.2	-0.28	-0.33	0.80	0.68	0.05	0.580	0.700	(A) BLACK OR AFRICAN AMERICAN
RPS6KB1	17q23.1	0.02	-0.01	0.53	0.48	0.03	0.594	0.714	(A) BLACK OR AFRICAN AMERICAN
COPS5	8q13.1	0.09	0.06	0.34	0.27	0.02	0.599	0.715	(A) BLACK OR AFRICAN AMERICAN
BAD_PS112	19q13.1-q13.2	0.07	0.06	0.21	0.25	0.01	0.602	0.716	(A) BLACK OR AFRICAN AMERICAN
CDKN1B	12p13.1	0.21	0.18	0.35	0.32	0.02	0.620	0.732	(A) BLACK OR AFRICAN AMERICAN
JUN_PS73	17q21.31	0.11	0.09	0.23	0.22	0.01	0.644	0.754	(A) BLACK OR AFRICAN AMERICAN
JAK2	9p24.1	-0.30	-0.28	0.42	0.38	-0.02	0.648	0.754	(B) WHITE
BCL2A1	15q25.1	0.32	0.30	0.43	0.34	0.02	0.652	0.754	(A) BLACK OR AFRICAN AMERICAN
PRKAA1_PT172	19q13.1-q13.2	-0.04	-0.00	0.61	0.54	-0.03	0.653	0.754	(B) WHITE
BCL2L11	2q13	0.31	0.34	0.58	0.50	-0.03	0.654	0.754	(B) WHITE
GAPDH	12p13.31	-1.26	-1.31	0.98	1.02	0.05	0.661	0.757	(A) BLACK OR AFRICAN AMERICAN
NRG1	8p12	-0.01	-0.02	0.19	0.19	0.01	0.676	0.771	(A) BLACK OR AFRICAN AMERICAN
SMAD3	15q22.33	-0.19	-0.17	0.25	0.25	-0.01	0.680	0.772	(B) WHITE
SRSF1	17q22	-0.02	-0.03	0.23	0.23	0.01	0.694	0.784	(A) BLACK OR AFRICAN AMERICAN
IRS1	2q36.3	0.21	0.23	0.36	0.34	-0.02	0.714	0.802	(B) WHITE
BRAF	7q34	-0.22	-0.19	0.53	0.60	-0.02	0.725	0.811	(B) WHITE
CDKN2A	9p21.3	0.22	0.19	0.81	0.64	0.03	0.729	0.812	(A) BLACK OR AFRICAN AMERICAN
ARID1A	1p36.11	0.08	0.07	0.26	0.24	0.01	0.745	0.825	(A) BLACK OR AFRICAN AMERICAN
YAP1_PS127	20q12-q13	-0.12	-0.10	0.52	0.56	-0.02	0.754	0.830	(B) WHITE
WWTR1	3q25.1	0.06	0.07	0.27	0.28	-0.01	0.762	0.835	(B) WHITE
MAPK1	22q11.22	-0.23	-0.22	0.29	0.33	-0.01	0.772	0.843	(B) WHITE
MAP2K1	15q22.31	0.26	0.27	0.35	0.34	-0.01	0.792	0.859	(B) WHITE
PRKCB_PS660	5q21-q22	-0.16	-0.17	0.45	0.44	0.01	0.795	0.859	(A) BLACK OR AFRICAN AMERICAN
STAT5A	17q21.2	0.35	0.37	0.69	0.71	-0.02	0.805	0.866	(B) WHITE
TIGAR	12p13.32	-0.05	-0.05	0.27	0.19	0.01	0.822	0.880	(A) BLACK OR AFRICAN AMERICAN
GAB2	11q14.1	0.04	0.05	0.59	0.52	-0.02	0.834	0.885	(B) WHITE
RAF1	3p25.2	0.01	0.01	0.25	0.19	-0.01	0.834	0.885	(B) WHITE
ETS1	11q24.3	-0.20	-0.21	0.66	0.67	0.01	0.862	0.910	(A) BLACK OR AFRICAN AMERICAN
RPS6_PS235_S236	5q21-q22	-0.05	-0.06	0.69	0.63	0.01	0.909	0.956	(A) BLACK OR AFRICAN AMERICAN
RPS6_PS240_S244	5q21-q22	-0.03	-0.02	0.72	0.68	-0.01	0.919	0.958	(B) WHITE
YBX1_PS102	20q12-q13	-0.06	-0.06	0.24	0.20	0.00	0.920	0.958	(A) BLACK OR AFRICAN AMERICAN
RPS6KA1	1p36.11	-0.02	-0.02	0.27	0.31	0.00	0.932	0.966	(A) BLACK OR AFRICAN AMERICAN
EGFR_PY1068	7q31	0.24	0.24	0.48	0.67	0.00	0.943	0.970	(A) BLACK OR AFRICAN AMERICAN
BID	22q11.21	0.15	0.15	0.33	0.28	-0.00	0.944	0.970	(B) WHITE
GSK3A	19q13.2	-0.12	-0.12	0.27	0.26	-0.00	0.965	0.976	(B) WHITE
GSK3B	3q13.33	-0.12	-0.12	0.27	0.26	-0.00	0.965	0.976	(B) WHITE
PIK3R1	5q13.1	0.05	0.05	0.37	0.31	0.00	0.967	0.976	(A) BLACK OR AFRICAN AMERICAN
PIK3R2	19p13.11	0.05	0.05	0.37	0.31	0.00	0.967	0.976	(A) BLACK OR AFRICAN AMERICAN
RAF1_PS338	1q44	-0.04	-0.04	0.18	0.17	0.00	0.985	0.989	(A) BLACK OR AFRICAN AMERICAN
ERBB2_PY1248	6q25.1	0.30	0.30	0.75	0.64	0.00	0.998	0.998	(A) BLACK OR AFRICAN AMERICAN
